,participant_id,vendor_id,vendor,tranx_event,note_text,occurrence_string,budget_id,budget,currency_id,currency,fin_acc_id,fin_acc,tranx_debit,tranx_credit,tranx_credit_old,balance
0,5ab055eae67be20014ca5284,CostCo,CostCo,groceries,groceries,7/1,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$236.68,$134.08,$134.08,$397.40
1,5ab055eae67be20014ca5284,Christina,Christina,June Balance of bills,June Balance of bills,7/3,5f3e189bd95d06627dc8e93a,utilities,,USD,personal,personal,-$55.86,$0.00,,$44.14
2,5ab055eae67be20014ca5284,Salad & Go,Salad & Go,dinner,dinner,7/2,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$6.20,$0.00,,$391.20
3,5ab055eae67be20014ca5284,Nintendo,Nintendo,online membership,online membership,7/3,5f3e189bd95d06627dc8e931,ent,,USD,paypal,paypal,-$21.39,$0.00,,$378.61
4,5ab055eae67be20014ca5284,Namecheap,Namecheap,7 domain renewals,7 domain renewals,7/3,5f3e189bd95d06627dc8e937,tools,,USD,paypal,paypal,-$110.02,$0.00,,"$2,181.95"
5,5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/4,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$26.23,$13.12,$13.12,$378.09
6,5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/6,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$18.75,$9.38,$9.38,$368.71
7,5ab055eae67be20014ca5284,Wetzels Pretzel,Wetzels Pretzel,snack,snack,7/7,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$7.92,$0.00,,$360.79
8,5ab055eae67be20014ca5284,TJ Maxx,TJ Maxx,belt,belt,7/8,5f3e189bd95d06627dc8e933,maintenance,,USD,personal,personal,-$18.32,$0.00,,$81.68
9,5ab055eae67be20014ca5284,SAFE,SAFE,ccw class,ccw class,7/9,5f3e189bd95d06627dc8e936,selfcare,,USD,biz,biz,-$5.00,$0.00,,$95.00
10,5ab055eae67be20014ca5284,CostCo,CostCo,pillow,pillow,7/9,5f3e189bd95d06627dc8e937,tools,,USD,personal,personal,-$21.56,$10.78,$10.78,"$2,171.17"
11,5ab055eae67be20014ca5284,CostCo,CostCo,refund pillow from 7/1 line 5,refund pillow from 7/1 line 5,7/9,5f3e189bd95d06627dc8e937,tools,,USD,personal,personal,-$16.17,$32.33,$32.33,"$2,187.34"
12,5ab055eae67be20014ca5284,Buffalo Wild Wings,Buffalo Wild Wings,dinner,dinner,7/9,5f3e189bd95d06627dc8e932,food,,USD,cash,cash,-$11.00,$0.00,,$349.79
13,5ab055eae67be20014ca5284,Red Robin,Red Robin,dinner,dinner,7/11,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$20.00,$10.00,$10.00,$339.79
14,5ab055eae67be20014ca5284,Flavors of Lousiana,Flavors of Lousiana,dinner,dinner,7/12,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$15.00,$0.00,,$324.79
15,5ab055eae67be20014ca5284,Play It Again Sports,Play It Again Sports,soccer ball size 5,soccer ball size 5,7/14,5f3e189bd95d06627dc8e931,ent,,USD,personal,personal,-$12.96,$0.00,,$365.65
16,5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/14,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$16.77,$8.39,$8.39,$316.41
17,5ab055eae67be20014ca5284,USPS Dianes,USPS Dianes,ship 50 masks to mamma,ship 50 masks to mamma,7/14,5f3e189bd95d06627dc8e933,maintenance,,USD,personal,personal,-$8.40,$0.00,,$73.28
18,5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/17,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$13.62,$6.81,$6.81,$309.60
19,5ab055eae67be20014ca5284,KO8 straps,KO8 straps,exercise equipment for indoors,exercise equipment for indoors,7/16,5f3e189bd95d06627dc8e937,tools,,USD,paypal,paypal,-$197.10,$0.00,,"$1,990.24"
20,5ab055eae67be20014ca5284,CostCo,CostCo,groceries,groceries,7/18,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$94.60,$47.30,$47.30,$262.30
21,5ab055eae67be20014ca5284,Christina,Christina,rent,rent,7/18,5f3e189bd95d06627dc8e935,rent,,USD,personal,personal,-$681.26,$0.00,,$18.74
22,5ab055eae67be20014ca5284,Christina,Christina,"utilities, cox cable/internet","utilities, cox cable/internet",7/18,5f3e189bd95d06627dc8e93a,utilities,,USD,personal,personal,-$80.58,$0.00,,-$36.44
23,5ab055eae67be20014ca5284,Christina,Christina,"utilitiels, SRP","utilitiels, SRP",7/18,5f3e189bd95d06627dc8e93a,utilities,,USD,personal,personal,-$61.59,$0.00,,-$98.03
24,5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/21,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$8.12,$4.06,$4.06,$258.24
25,5ab055eae67be20014ca5284,Joann,Joann,green fabric and hooks for green screen,green fabric and hooks for green screen,7/21,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,-$41.22,$0.00,,"$1,949.02"
26,5ab055eae67be20014ca5284,Joann,Joann,green fabric for green screen,green fabric for green screen,7/21,5f3e189bd95d06627dc8e937,tools,,USD,paypal,paypal,-$24.23,$0.00,,"$1,924.79"
27,5ab055eae67be20014ca5284,Halal Guys,Halal Guys,"late lunch, early dinner","late lunch, early dinner",7/21,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$8.65,$0.00,,$249.59
28,5ab055eae67be20014ca5284,CostCo,CostCo,gas,gas,7/21,5f3e189bd95d06627dc8e938,transportation,,USD,personal,personal,-$17.20,$0.00,,$82.80
29,5ab055eae67be20014ca5284,Tronus LLC,Tronus LLC,shoes for Christina,shoes for Christina,7/21,5f3e189bd95d06627dc8e933,maintenance,,USD,personal,personal,-$135.00,$0.00,,-$61.72
30,5ab055eae67be20014ca5284,Tidal,Tidal,music subscription,music subscription,7/17,5f3e189bd95d06627dc8e931,ent,,USD,paypal,paypal,-$9.99,$0.00,,$355.66
31,5ab055eae67be20014ca5284,System76,System76,RETURNED. laptop for streaming and gaming,RETURNED. laptop for streaming and gaming,7/22,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,"-$2,222.53","$2,193.00","$2,193.00","$1,895.26"
32,5ab055eae67be20014ca5284,casedealer.com,casedealer.com,pelican case for ar-15,pelican case for ar-15,7/23,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,-$182.88,$0.00,,"-$2,405.41"
33,5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/24,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$9.68,$4.84,$4.84,$244.75
34,5ab055eae67be20014ca5284,gumroad,gumroad,black illustrations graphics,black illustrations graphics,7/23,5f3e189bd95d06627dc8e937,tools,,USD,paypal,paypal,-$10.00,$0.00,,"-$2,415.41"
35,5ab055eae67be20014ca5284,Viible,Viible,phone bill,phone bill,7/26,5f3e189bd95d06627dc8e934,phone,,USD,biz,biz,-$40.00,$0.00,,$0.00
