,participant_id,vendor_id,vendor,tranx_event,note_text,occurrence_string,budget_id,budget,currency_id,currency,fin_acc_id,fin_acc,tranx_debit,tranx_credit,tranx_credit_old,balance
0,5ab055eae67be20014ca5284,Petro #390,Petro #390,"gas, trip from SF to Phx","gas, trip from SF to Phx",4/1,5f3e189bd95d06627dc8e939,travel,,USD,credit_card_mamma,credit_card_mamma,-$36.80,$0.00,,$463.20
1,5ab055eae67be20014ca5284,Firehouse Subs,Firehouse Subs,"sandwich, on road trip","sandwich, on road trip",4/1,5f3e189bd95d06627dc8e939,travel,,USD,cash,cash,-$9.65,$0.00,,$453.55
2,5ab055eae67be20014ca5284,In-N-Out,In-N-Out,"dinner, snack","dinner, snack",4/1,5f3e189bd95d06627dc8e939,travel,,USD,cash,cash,-$4.81,$0.00,,$448.74
3,5ab055eae67be20014ca5284,Carl's Jr 1100769,Carl's Jr 1100769,"dinner, roadtrip","dinner, roadtrip",4/1,5f3e189bd95d06627dc8e939,travel,,USD,cash,cash,-$6.99,$0.00,,$441.75
4,5ab055eae67be20014ca5284,"VP Racing of Blythe, 301","VP Racing of Blythe, 301","gas, trip from SF to Phx","gas, trip from SF to Phx",4/1,5f3e189bd95d06627dc8e939,travel,,USD,cash,cash,-$20.00,$0.00,,$421.75
5,5ab055eae67be20014ca5284,Budget Rental Car,Budget Rental Car,rent car for road trip,rent car for road trip,4/1,5f3e189bd95d06627dc8e939,travel,,USD,credit_card_mamma,credit_card_mamma,-$92.00,$0.00,,$329.75
6,5ab055eae67be20014ca5284,CostCo,CostCo,supplements,supplements,4/7,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$80.38,$0.00,,$419.62
7,5ab055eae67be20014ca5284,CostCo,CostCo,groceries for Christina & I,groceries for Christina & I,4/7,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$55.18,$27.59,$27.59,$392.03
8,5ab055eae67be20014ca5284,DoorDash,DoorDash,The Porch-Dinner,The Porch-Dinner,4/5,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$54.24,$27.12,$27.12,$364.91
9,5ab055eae67be20014ca5284,Frys,Frys,batteries & food,batteries & food,4/9,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$34.27,$17.14,$17.14,$347.78
10,5ab055eae67be20014ca5284,Frys,Frys,snacks,snacks,4/11,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$8.62,$0.00,,$339.16
11,5ab055eae67be20014ca5284,Frys ,Frys ,Chips ,Chips ,4/10,5f3e189bd95d06627dc8e932,food ,,USD,cash ,cash ,-$1.62,$0.00,,$337.54
12,5ab055eae67be20014ca5284,CostCo,CostCo,groceries for Christina & I,groceries for Christina & I,4/21,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$74.89,$37.44,$37.44,$300.09
13,5ab055eae67be20014ca5284,CostCo,CostCo,protein,protein,4/21,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$16.14,$0.00,,283.953125
14,5ab055eae67be20014ca5284,DoorDash,DoorDash,Native Grill & Wings,Native Grill & Wings,4/17,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$44.43,$22.22,$22.22,$261.74
15,5ab055eae67be20014ca5284,Tidal,Tidal,music,music,4/14,5f3e189bd95d06627dc8e931,entertainment,,USD,personal,personal,-$9.99,$0.00,,390.01
16,5ab055eae67be20014ca5284,Chompies,Chompies,breakfast for Christina and I,breakfast for Christina and I,4/19,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$15.30,$7.65,$7.65,254.088125
17,5ab055eae67be20014ca5284,Amazon Smiles,Amazon Smiles,"book, ""People Powered: How Communities Can Supercharge Your Business, Brand, and Teams"" building communities","book, ""People Powered: How Communities Can Supercharge Your Business, Brand, and Teams"" building communities",4/7,5f3e189bd95d06627dc8e937,tools,,USD,credit_card,credit_card,-$18.18,$18.18,$18.18,"$2,881.77"
18,5ab055eae67be20014ca5284,Audible,Audible,membership,membership,4/8,5f3e189bd95d06627dc8e937,tools,,USD,credit_card,credit_card,-$16.00,$0.00,,"$2,865.77"
19,5ab055eae67be20014ca5284,MeetEdgar,MeetEdgar,membership,membership,4/12,5f3e189bd95d06627dc8e937,tools,,USD,credit_card,credit_card,-$49.00,$0.00,,"$2,816.77"
20,5ab055eae67be20014ca5284,Kindle,Kindle,"book, ""The African Trilogy: Things Fall Apart; Arrow of God; No Longer at Ease (Penguin Classics Deluxe Edition)""","book, ""The African Trilogy: Things Fall Apart; Arrow of God; No Longer at Ease (Penguin Classics Deluxe Edition)""",4/12,5f3e189bd95d06627dc8e937,tools,,USD,credit_card,credit_card,-$13.90,$0.00,,"$2,802.87"
21,5ab055eae67be20014ca5284,Kindle,Kindle,"book, ""From Superman to Man""","book, ""From Superman to Man""",4/16,5f3e189bd95d06627dc8e937,tools,,USD,credit_card,credit_card,-$1.06,$0.00,,"$2,801.81"
