participant_id,vendor_id,vendor,tranx_event,note_text,occurrence_string,budget_id,budget,currency_id,currency,fin_acc_id,fin_acc,tranx_debit,tranx_credit,tranx_credit_old,balance
5ab055eae67be20014ca5284,SAFE,SAFE,fingerprinting,fingerprinting,8/1,selfcare,selfcare,,USD,cash,cash,-$20.00,$0.00,,-$20.00
5ab055eae67be20014ca5284,SAFE,SAFE,MyFirstSight membership,MyFirstSight membership,8/1,selfcare,selfcare,,USD,cash,cash,-$50.00,$0.00,,-$70.00
5ab055eae67be20014ca5284,USCCA,USCCA,gold membership for legal weapons issues,gold membership for legal weapons issues,8/1,selfcare,selfcare,,USD,personal_account,personal_account,-$248.89,$0.00,,-$318.89
5ab055eae67be20014ca5284,Teakwoods,Teakwoods,pretzel,pretzel,8/1,food,food,,USD,personal,personal,-$10.23,$0.00,,-$10.23
5ab055eae67be20014ca5284,Dunkin Donuts,Dunkin Donuts,coffee for Christina,coffee for Christina,8/1,maintenance,maintenance,,USD,personal,personal,-$2.17,$0.00,,-$2.17
5ab055eae67be20014ca5284,USPS,USPS,"book of stamps & envelope, postage to mail CCW application","book of stamps & envelope, postage to mail CCW application",8/3,selfcare,selfcare,,USD,biz,biz,-$12.55,$0.00,,-$331.44
5ab055eae67be20014ca5284,Frys,Frys,$60 money order for CCW application,$60 money order for CCW application,8/3,selfcare,selfcare,,USD,biz,biz,-$60.84,$0.00,,-$392.28
5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,8/3,food,food,,USD,personal,personal,-$8.12,$4.06,$4.06,-$14.29
5ab055eae67be20014ca5284,CostCo,CostCo,groceries,groceries,8/3,food,food,,USD,personal,personal,-$12.17,$6.09,$6.09,-$20.38
5ab055eae67be20014ca5284,Target,Target,sandals,sandals,8/3,tools,tools,,USD,personal,personal,-$16.16,$0.00,,-$16.16
5ab055eae67be20014ca5284,Namecheap,Namecheap,domain renewals,domain renewals,8/4,tools,tools,,USD,paypal,paypal,-$101.84,$0.00,,-$118.00
5ab055eae67be20014ca5284,CostCo,CostCo,gaming laptop for video editting,gaming laptop for video editting,8/5,tools,tools,,USD,mamma_cc,mamma_cc,"-$1,551.94",$0.00,,"-$1,669.94"
5ab055eae67be20014ca5284,Amazon Smiles Smiles,Amazon Smiles Smiles,2 video games: Mario Cart & FIFA 20 for switch,2 video games: Mario Cart & FIFA 20 for switch,8/6,ent,ent,,USD,biz,biz,-$32.73,$0.00,,-$32.73
5ab055eae67be20014ca5284,Hyperice,Hyperice,RETURNED. massage tools,RETURNED. massage tools,8/6,tools,tools,,USD,biz,biz,-$484.02,$484.02,$484.02,"-$2,153.96"
5ab055eae67be20014ca5284,SAFE,SAFE,"kubaton, pepper spray","kubaton, pepper spray",8/7,tools,tools,,USD,cash,cash,-$40.00,$0.00,,"-$2,193.96"
5ab055eae67be20014ca5284,eBay,eBay,massage tools,massage tools,8/7,tools,tools,,USD,paypal,paypal,-$118.97,$0.00,,"-$2,312.93"
5ab055eae67be20014ca5284,Hot Pot Caribbean Cuisine,Hot Pot Caribbean Cuisine,dinner for Christina and I,dinner for Christina and I,8/7,food,food,,USD,personal,personal,-$28.34,$0.00,,-$48.72
5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,8/8,food,food,,USD,personal & Frys gift card from previous refunded purchase,personal & Frys gift card from previous refunded purchase,-$19.77,$9.89,$9.89,-$58.60
5ab055eae67be20014ca5284,Christina,Christina,other expenses,other expenses,8/8,maintenance,maintenance,,USD,personal,personal,-$43.20,$0.00,,-$45.37
5ab055eae67be20014ca5284,Christina,Christina,cox,cox,8/8,utilities,utilities,,USD,personal,personal,-$80.61,$0.00,,-$80.61
5ab055eae67be20014ca5284,Christina,Christina,srp,srp,8/8,utilities,utilities,,USD,personal,personal,-$81.37,$0.00,,-$161.98
5ab055eae67be20014ca5284,Christina,Christina,rent,rent,8/8,rent,rent,,USD,personal,personal,-$681.45,$0.00,,-$681.45
5ab055eae67be20014ca5284,Frys,Frys,groceries ,groceries ,8/12,food ,food ,,USD,personal,personal,-$13.83,$6.92,$6.92,-$65.52
5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,8/12,food,food,,USD,personal,personal,-$15.98,$0.00,,-$81.50
5ab055eae67be20014ca5284,CostCo,CostCo,gas,gas,8/14,transportation,transportation,,USD,personal,personal,-$17.70,$0.00,,-$17.70
5ab055eae67be20014ca5284,Mad Greens,Mad Greens,lunch,lunch,8/14,food,food,,USD,cash,cash,-$10.86,$0.00,,-$92.36
5ab055eae67be20014ca5284,Christina,Christina,Meds,Meds,8/14,ent,ent,,USD,cash ,cash ,-$40.00,$0.00,,-$72.73
5ab055eae67be20014ca5284,Tidal,Tidal,tidal subscription,tidal subscription,8/15,ent,ent,,USD,paypal,paypal,-$9.99,$0.00,,-$82.72
5ab055eae67be20014ca5284,Malcolm Pitts,Malcolm Pitts,"box braids by Janice, $10 tip","box braids by Janice, $10 tip",8/14,selfcare,selfcare,,USD,cash,cash,-$70.00,$0.00,,-$462.28
5ab055eae67be20014ca5284,Cheba Hut,Cheba Hut,lunch w/ Christina,lunch w/ Christina,8/16,food,food,,USD,personal,personal,-$20.61,$10.31,$10.31,-$102.66
5ab055eae67be20014ca5284,Jersey Mikes,Jersey Mikes,lunch w/ Christina,lunch w/ Christina,8/18,food,food,,USD,personal,personal,-$27.88,$10.88,$10.88,-$119.66
5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,8/19,food,food,,USD,personal,personal,-$15.81,$7.91,$7.91,-$127.57
5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,8/20,food,food,,USD,personal,personal,-3.52,$1.76,1.76,-$129.33
