participant_id,vendor_id,vendor,tranx_event,note_text,occurrence_string,budget_id,budget,currency_id,currency,fin_acc_id,fin_acc,tranx_debit,tranx_credit,tranx_credit_old,balance
5ab055eae67be20014ca5284,CostCo,CostCo,groceries,groceries,7/1,food,food,,USD,personal,personal,-$236.68,$134.08,$134.08,$397.40
5ab055eae67be20014ca5284,Christina,Christina,June Balance of bills,June Balance of bills,7/3,utilities,utilities,,USD,personal,personal,-$55.86,$0.00,,$44.14
5ab055eae67be20014ca5284,Salad & Go,Salad & Go,dinner,dinner,7/2,food,food,,USD,personal,personal,-$6.20,$0.00,,$391.20
5ab055eae67be20014ca5284,Nintendo,Nintendo,online membership,online membership,7/3,ent,ent,,USD,paypal,paypal,-$21.39,$0.00,,$378.61
5ab055eae67be20014ca5284,Namecheap,Namecheap,7 domain renewals,7 domain renewals,7/3,tools,tools,,USD,paypal,paypal,-$110.02,$0.00,,"$2,181.95"
5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/4,food,food,,USD,personal,personal,-$26.23,$13.12,$13.12,$378.09
5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,7/6,food,food,,USD,personal,personal,-$18.75,$9.38,$9.38,$368.71
5ab055eae67be20014ca5284,Wetzels Pretzel,Wetzels Pretzel,snack,snack,7/7,food,food,,USD,personal,personal,-$7.92,$0.00,,$360.79
5ab055eae67be20014ca5284,TJ Maxx,TJ Maxx,belt,belt,7/8,maintenance,maintenance,,USD,personal,personal,-$18.32,$0.00,,$81.68
5ab055eae67be20014ca5284,SAFE,SAFE,ccw class,ccw class,7/9,selfcare,selfcare,,USD,biz,biz,-$5.00,$0.00,,$95.00
5ab055eae67be20014ca5284,CostCo,CostCo,pillow,pillow,7/9,tools,tools,,USD,personal,personal,-$21.56,$10.78,$10.78,"$2,171.17"
5ab055eae67be20014ca5284,CostCo,CostCo,refund pillow from 7/1 line 5,refund pillow from 7/1 line 5,7/9,tools,tools,,USD,personal,personal,-$16.17,$32.33,$32.33,"$2,187.34"
5ab055eae67be20014ca5284,Buffalo Wild Wings,Buffalo Wild Wings,dinner,dinner,7/9,food,food,,USD,cash,cash,-$11.00,$0.00,,$349.79
5ab055eae67be20014ca5284,Red Robin,Red Robin,dinner,dinner,7/11,food,food,,USD,personal,personal,-$20.00,$10.00,$10.00,$339.79
5ab055eae67be20014ca5284,Flavors of Lousiana,Flavors of Lousiana,dinner,dinner,7/12,food,food,,USD,personal,personal,-$15.00,$0.00,,$324.79
