,participant_id,vendor_id,vendor,tranx_event,note_text,occurrence_string,budget_id,budget,currency_id,currency,fin_acc_id,fin_acc,tranx_debit,tranx_credit,tranx_credit_old,balance
0,5ab055eae67be20014ca5284,Frys,Frys,gas,gas,6/1,5f3e189bd95d06627dc8e931,ent,,USD,personal,personal,-$4.90,$0.00,,$395.10
1,5ab055eae67be20014ca5284,C2 Tactical,C2 Tactical,gun range,gun range,6/1,5f3e189bd95d06627dc8e931,ent,,USD,cash,cash,-$20.41,$0.00,,$374.69
2,5ab055eae67be20014ca5284,Palmetto State Armory,Palmetto State Armory,ar-15 lower,ar-15 lower,6/2,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,-$73.85,$0.00,,"$2,720.98"
3,5ab055eae67be20014ca5284,Heroes In Color,Heroes In Color,1st half of payment for logo design,1st half of payment for logo design,6/1,5f3e189bd95d06627dc8e931,ent,,USD,paypal,paypal,-$40.00,$0.00,,$360.00
4,5ab055eae67be20014ca5284,Christina,Christina,settle up on May expenses,settle up on May expenses,6/2,5f3e189bd95d06627dc8e933,maintenance,,USD,personal,personal,-$19.57,$0.00,,$80.43
5,5ab055eae67be20014ca5284,NAAGA,NAAGA,gun club membership,gun club membership,6/3,5f3e189bd95d06627dc8e936,selfcare,,USD,biz,biz,-$29.00,$0.00,,$71.00
6,5ab055eae67be20014ca5284,Amazon Smiles,Amazon Smiles,"RETURNED. wig for mamma, 10"" Straight Short Bob Wig Human Hair Brazilian Virgin Human Hair Wigs with Bangs 130% Density None Lace Front Bob Wig for Black Women Natural Color (10 Inch)","RETURNED. wig for mamma, 10"" Straight Short Bob Wig Human Hair Brazilian Virgin Human Hair Wigs with Bangs 130% Density None Lace Front Bob Wig for Black Women Natural Color (10 Inch)",6/3,5f3e189bd95d06627dc8e933,maintenance,,USD,personal,personal,-$42.79,$42.79,$42.79,$80.43
7,5ab055eae67be20014ca5284,Amazon Smiles,Amazon Smiles,"RETURNED. wig for mamma, Quinlux Wigs 13X4 Lace Front Wig 150% Density Air Bangs Natural Color Short Bob Wigs Brazilian 100% Human Hair For Women","RETURNED. wig for mamma, Quinlux Wigs 13X4 Lace Front Wig 150% Density Air Bangs Natural Color Short Bob Wigs Brazilian 100% Human Hair For Women",6/3,5f3e189bd95d06627dc8e933,maintenance,,USD,personal,personal,-$85.59,$85.59,$85.59,$80.43
8,5ab055eae67be20014ca5284,comforttac,comforttac,conceal carry band,conceal carry band,6/3,5f3e189bd95d06627dc8e937,tools,,USD,paypal,paypal,-$16.98,$0.00,,"$2,704.00"
9,5ab055eae67be20014ca5284,Frys,Frys,groceries,groceries,6/9,5f3e189bd95d06627dc8e932,food,,USD,"personal, cash","personal, cash",-$37.98,$0.00,,$462.02
10,5ab055eae67be20014ca5284,Heroes In Color,Heroes In Color,2nd half of payment for logo design,2nd half of payment for logo design,6/9,5f3e189bd95d06627dc8e931,ent,,USD,paypal,paypal,-$40.00,$0.00,,$320.00
11,5ab055eae67be20014ca5284,Donatos/Red Robin,Donatos/Red Robin,Rosalie birthday party Pizza and shakes,Rosalie birthday party Pizza and shakes,6/9,5f3e189bd95d06627dc8e932,food,,USD,personal,personal,-$27.53,$13.77,$13.77,$448.26
12,5ab055eae67be20014ca5284,Amazon Smiles,Amazon Smiles,ebook: We Will Shoot Back: Armed Resistance in the Mississippi Freedom Movement[Kindle Edition],ebook: We Will Shoot Back: Armed Resistance in the Mississippi Freedom Movement[Kindle Edition],6/9,5f3e189bd95d06627dc8e936,selfcare,,USD,personal,personal,-$1.67,$0.00,,$69.33
