,participant_id,vendor_id,vendor,tranx_event,note_text,occurrence_string,budget_id,budget,currency_id,currency,fin_acc_id,fin_acc,tranx_debit,tranx_credit,tranx_credit_old,balance
0,5ab055eae67be20014ca5284,Century Theatre,Century Theatre,movies-Bad Boy For Life,movies-Bad Boy For Life,3/1,5f3e189bd95d06627dc8e931,entertainment,,USD,cash,cash,-$13.25,$0.00,,$386.75
1,5ab055eae67be20014ca5284,Real Food Company,Real Food Company,groceries: alkalizer & detoxifier supplement,groceries: alkalizer & detoxifier supplement,3/1,5f3e189bd95d06627dc8e932,food,,USD,cash,cash,-$29.28,$0.00,,$470.72
2,5ab055eae67be20014ca5284,Cole Hardware Russian Hill,Cole Hardware Russian Hill,tire gauge 120 psi,tire gauge 120 psi,3/1,5f3e189bd95d06627dc8e937,tools,,USD,cash,cash,-$7.20,$0.00,,"$4,992.80"
3,5ab055eae67be20014ca5284,Crab Shop Pier 39,Crab Shop Pier 39,fish & chips,fish & chips,3/1,5f3e189bd95d06627dc8e932,food,,USD,cash,cash,-$13.30,$0.00,,$457.42
4,5ab055eae67be20014ca5284,Ritual,Ritual,Onigilly,Onigilly,3/3,5f3e189bd95d06627dc8e932,food,,USD,credit_card,credit_card,-$1.04,$0.00,,$456.38
5,5ab055eae67be20014ca5284,AWS,AWS,servers,servers,3/3,5f3e189bd95d06627dc8e937,tools,,USD,credit_card,credit_card,-$0.31,$0.00,,"$4,999.69"
6,5ab055eae67be20014ca5284,Ritual,Ritual,Fish & Farm,Fish & Farm,3/2,5f3e189bd95d06627dc8e932,food,,USD,credit_card,credit_card,-$4.18,$0.00,,$452.20
7,5ab055eae67be20014ca5284,OpenDoor,OpenDoor,Rent,Rent,3/2,5f3e189bd95d06627dc8e935,rent,,USD,personal,personal,"-$1,510.00",$0.00,,$0.00
8,5ab055eae67be20014ca5284,B8TA,B8TA,"sunglasses, notebook","sunglasses, notebook",3/1,5f3e189bd95d06627dc8e937,tools,,USD,personal,personal,-$69.44,$0.00,,"$4,930.25"
9,5ab055eae67be20014ca5284,NameCheap,NameCheap,"costlip.com, idnkhtw.space","costlip.com, idnkhtw.space",3/1,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,-$23.22,$0.00,,"$4,907.03"
10,5ab055eae67be20014ca5284,PayPal,PayPal,PayPal Credit: Brompton,PayPal Credit: Brompton,3/2,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,-$500.00,$0.00,,"$4,407.03"
11,5ab055eae67be20014ca5284,CostCo,CostCo,"soup, toothbrushes","soup, toothbrushes",3/3,5f3e189bd95d06627dc8e932,food,,USD,biz,biz,-$24.95,$0.00,,$427.25
12,5ab055eae67be20014ca5284,Amazon Smiles,Amazon Smiles,backpack,backpack,3/3,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,-$43.06,$0.00,,"$4,363.97"
13,5ab055eae67be20014ca5284,Amazon Smiles,Amazon Smiles,vitamins,vitamins,3/3,5f3e189bd95d06627dc8e936,selfcare,,USD,biz,biz,-$5.06,$0.00,,$194.94
14,5ab055eae67be20014ca5284,NameCheap,NameCheap,"youngrichandiconic.com, prokickballer.com","youngrichandiconic.com, prokickballer.com",3/1,5f3e189bd95d06627dc8e937,tools,,USD,biz,biz,-$26.32,$0.00,,"$4,337.65"
15,5ab055eae67be20014ca5284,Brendas French Soul Food,Brendas French Soul Food,"Benets, $1 tip","Benets, $1 tip",3/4,5f3e189bd95d06627dc8e932,food,,USD,cash,cash,-$10.32,$0.00,,$416.93
16,5ab055eae67be20014ca5284,Spice Monkey Restaurant & Bar,Spice Monkey Restaurant & Bar,dinner at comedy show,dinner at comedy show,3/5,5f3e189bd95d06627dc8e932,food,,USD,credit_card_mamma,credit_card_mamma,-$33.00,$0.00,,$383.93
17,5ab055eae67be20014ca5284,Ritual,Ritual,Onigilly,Onigilly,3/5,5f3e189bd95d06627dc8e932,food,,USD,credit_card,credit_card,-$1.22,$0.00,,$382.71
18,5ab055eae67be20014ca5284,BART,BART,clipper_card,clipper_card,3/5,5f3e189bd95d06627dc8e938,transportation,,USD,cash,cash,-$20.00,$0.00,,$80.00
19,5ab055eae67be20014ca5284,Ritual,Ritual,Hilal Guys,Hilal Guys,3/6,5f3e189bd95d06627dc8e932,food,,USD,credit_card,credit_card,-$4.75,$0.00,,$377.96
20,5ab055eae67be20014ca5284,T & L Laundry Cafe,T & L Laundry Cafe,laundry,laundry,3/7,5f3e189bd95d06627dc8e933,maintenance,,USD,cash,cash,-$11.00,$0.00,,$183.94
21,5ab055eae67be20014ca5284,Costco ,Costco ,Groceries ,Groceries ,3/7,5f3e189bd95d06627dc8e932,food ,,USD,credit_card_mamma,credit_card_mamma,-$41.75,$0.00,,$336.21
