participant_id,vendor_id,tranx_event,occurrence_string,budget_id,currency_id,fin_acc_id,tranx_debit,tranx_credit
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e94e,movies-Bad Boy For Life,3/1,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-13.25,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e990,groceries: alkalizer & detoxifier supplement,3/1,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-29.28,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e952,tire gauge 120 psi,3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-7.2,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e955,fish & chips,3/1,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-13.3,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Onigilly,3/3,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-1.04,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e941,servers,3/3,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-0.31,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Fish & Farm,3/2,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-4.18,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e988,Rent,3/2,5f3e189bd95d06627dc8e935,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],"-1,510.00",0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e942,"sunglasses, notebook",3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-69.44,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e986,"costlip.com, idnkhtw.space",3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-23.22,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e98b,PayPal Credit: Brompton,3/2,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-500,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,"soup, toothbrushes",3/3,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-24.95,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,backpack,3/3,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-43.06,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,vitamins,3/3,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-5.06,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e986,"youngrichandiconic.com, prokickballer.com",3/1,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-26.32,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e947,"Benets, $1 tip",3/4,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-10.32,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e99a,dinner at comedy show,3/5,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],-33,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Onigilly,3/5,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-1.22,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e944,clipper_card,3/5,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-20,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Hilal Guys,3/6,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-4.75,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,laundry,3/7,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-11,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,Groceries,3/7,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],-41.75,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,"Nintendo switch, gloves, jeans ",3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92b],-419.84,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e97f,Camera & lens,3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],-700,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e993,burger & fries,3/7,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-10.09,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a4,RETURNED. blender bottle,3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-11.82,11.82
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,thunderbolt to hdmi adapter,3/7,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-10.84,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride home from CostCo with too much stuff in the rain,3/7,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-7.27,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,The Legend of Zelda: Breath of the Wild - Nintendo Switch,3/7,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-53.7,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e945,NBA 2k20 Nintendo switch,3/8,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],-36.53,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Blue Light: burger & fries,3/8,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-9.77,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e96f,3 cookies,3/8,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-5.4,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e962,dinner w Christina,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-44,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-1.27,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-0.5,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/11,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-4.18,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e957,medicine,3/13,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-18.75,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e947,dinner,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-61,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e945,RETURNED. cords & cables,3/13,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-37.95,37.95
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e97c,dinner,3/12,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-16.53,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,supplements,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-85.68,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Soluna Cafe & Lounge,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-0.5,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Le Petitt's Kitchen,3/13,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-16.76,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,cable mini hdmi to hdmi,3/13,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-7.2,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e93d,25 ft hdmi cable,3/12,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-16.26,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a4,groceries,3/14,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-12.37,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e973,burger & fries,3/14,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-5.27,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,microsd card,3/12,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-48.81,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b3,Thomas,3/17,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-309.95,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e99d,pizza,3/17,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-23.71,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride to beach,3/12,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-13.78,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,beach to home,3/12,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-14.96,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride to fedex to get atem mini,3/13,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-10.8,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e980,ride to car rental,3/14,5f3e189bd95d06627dc8e938,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-8.6,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,drink,3/18,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-0.57,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e96f,lotta cookies,3/19,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-7,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e983,floor pump,3/20,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-43.35,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,"Washing, no bedding, large washers too big ",3/20,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-8.25,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,"Washing, no bedding, large washers too big ",3/20,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-1.75,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e965,"overpaid mamma's cc, total payment was $500",3/21,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-5.41,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b2,"first aid kit, make up remover wipes",3/21,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-5.73,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Patxi's,3/21,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-8.69,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e998,"dates, black farmers",3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-7,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries,3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-95.3,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,tools,3/22,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-16.26,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,selfcare tools,3/22,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-36.33,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e98d,"fish & chips, gifted to local",3/22,5f3e189bd95d06627dc8e936,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-14,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e99b,ok buffalo chicken sandwich & fries,3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-19.48,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b5,local brewery 4 pack beer,3/22,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-12.14,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries for lockdown,3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-99.37,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e954,groceries for lockdown,3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-36.99,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e943,medicine,3/23,5f3e189bd95d06627dc8e931,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-100,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e969,"groceries, salsa, potatoes",3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-14.57,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e959,"weight vest, taser",3/24,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92d],-103.05,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a4,"chips, hot sauce",3/24,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-5.67,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,Washing,3/27,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-8.75,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a3,Dryer,3/27,5f3e189bd95d06627dc8e933,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-2.25,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e96f,cookies,3/27,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e928],-2,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9b0,phone bill,3/29,5f3e189bd95d06627dc8e934,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e927],-40,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Fresco Pizza,3/22,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-1.26,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Quetzal,3/23,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-1.82,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Quetzal,3/24,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-0.5,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Organic Coop,3/25,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-2.32,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e994,Organic Coop,3/26,5f3e189bd95d06627dc8e932,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92a],-2.35,0
[5ab055eae67be20014ca5284],5f3e18f8d95d06627dc8e9a9,Moving boxes,3/31,5f3e189bd95d06627dc8e937,5f381f30f815d062fb9da8f1,[5f3e16a8d95d06627dc8e92f],-5.4,0
